Jigglypuff vs Vulpix. Ganador: Jigglypuff
Raticate vs Magneton. Ganador: Magneton
Vileplume vs Squirtle. Ganador: Vileplume
Growlithe vs Hypno. Ganador: Hypno
Weepinbell vs Slowbro. Ganador: Weepinbell
Venomoth vs Dodrio. Ganador: Dodrio
Kabutops vs Dratini. Ganador: Kabutops
Chansey vs Caterpie. Ganador: Chansey
Snorlax vs Flareon. Ganador: Snorlax
Snorlax vs Flareon. Ganador: Snorlax
Snorlax vs Flareon. Ganador: Snorlax
Snorlax vs Flareon. Ganador: Snorlax
Digglet vs Doduo. Ganador: Doduo
Digglet vs Doduo. Ganador: Doduo
Weezing vs Graveler. Ganador: Graveler
Horsea vs Bellsprout. Ganador: Bellsprout
Horsea vs Bellsprout. Ganador: Bellsprout
Zubat vs Machamp. Ganador: Machamp
Zubat vs Machamp. Ganador: Machamp
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Persian vs Wigglytuff. Ganador: Wigglytuff
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Charmander
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Charmander
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Charmander
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Charmander
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Raichu
Venonat vs Seel. Ganador: Venonat
Digglet vs Bulbasaur. Ganador: Bulbasaur
Digglet vs Bulbasaur. Ganador: Digglet
Digglet vs Bulbasaur. Ganador: Bulbasaur
Digglet vs Bulbasaur. Ganador: Digglet
Digglet vs Bulbasaur. Ganador: Digglet
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Charmander
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Charmander
Raichu vs Charmander. Ganador: Raichu
Raichu vs Charmander. Ganador: Raichu
Pikachu vs Magneton. Ganador: Magneton
Pikachu vs Squirtle. Ganador: Squirtle
Scyther vs Fearow. Ganador: Scyther
Chansey vs Magmar. Ganador: Magmar
Gyarados vs Caterpie. Ganador: Gyarados
Dragonite vs Venusaur. Ganador: Dragonite
Clefable vs Staryu. Ganador: Clefable
Arbok vs Gastly. Ganador: Arbok
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Dragonair vs Pidgeot. Ganador: Pidgeot
Dratini vs Ivysaur. Ganador: Dratini
Pikachu vs Pidgey. Ganador: Pikachu
Dragonair vs Pidgeot. Ganador: Pidgeot
Dratini vs Ivysaur. Ganador: Dratini
Dragonite vs Venusaur. Ganador: Dragonite
Dragonair vs Pidgeot. Ganador: Pidgeot
Dratini vs Ivysaur. Ganador: Dratini
Dragonite vs Venusaur. Ganador: Dragonite
Dragonite vs Venusaur. Ganador: Dragonite
Dragonair vs Pidgeot. Ganador: Pidgeot
Dratini vs Ivysaur. Ganador: Dratini
Pikachu vs Pidgey. Ganador: Pikachu
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Gyarados vs Weedle. Ganador: Gyarados
Blastoise vs Magikarp. Ganador: Blastoise
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Dragonite vs Pidgey. Ganador: Dragonite
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Gyarados vs Weedle. Ganador: Gyarados
Blastoise vs Magikarp. Ganador: Blastoise
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Gyarados vs Weedle. Ganador: Gyarados
Jynx vs Magmar. Ganador: Magmar
Weezing vs Butterfree. Ganador: Weezing
Koffing vs Primeape. Ganador: Primeape
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Dragonite vs Pidgey. Ganador: Dragonite
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Gyarados vs Weedle. Ganador: Gyarados
Blastoise vs Magikarp. Ganador: Blastoise
Dragonite vs Pidgey. Ganador: Dragonite
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Gyarados vs Weedle. Ganador: Gyarados
Blastoise vs Magikarp. Ganador: Blastoise
Dragonite vs Pidgey. Ganador: Dragonite
Mewtwo vs Caterpie. Ganador: Mewtwo
Gyarados vs Weedle. Ganador: Gyarados
Blastoise vs Magikarp. Ganador: Blastoise
Charizard vs Rattata. Ganador: Charizard
Alakazam vs Ekans. Ganador: Alakazam
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Mewtwo vs Charizard. Ganador: Mewtwo
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Mewtwo vs Charizard. Ganador: Mewtwo
Charizard vs Oddish. Ganador: Charizard
Growlithe vs Sandshrew. Ganador: Growlithe
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Mewtwo vs Charizard. Ganador: Mewtwo
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Charizard vs Oddish. Ganador: Charizard
Hitmonlee vs Seadra. Ganador: Hitmonlee
Mewtwo vs Charizard. Ganador: Mewtwo
Mewtwo vs Charizard. Ganador: Mewtwo
Charizard vs Oddish. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Oddish vs Charizard. Ganador: Oddish
Oddish vs Charizard. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Oddish vs Charizard. Ganador: Charizard
Magikarp vs Pikachu. Ganador: Pikachu
Magikarp vs Pikachu. Ganador: Pikachu
Magikarp vs Pikachu. Ganador: Pikachu
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Tauros vs Psyduck. Ganador: Tauros
Jynx vs Omastar. Ganador: Omastar
Oddish vs Geodude. Ganador: Oddish
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Tauros vs Psyduck. Ganador: Tauros
Jynx vs Omastar. Ganador: Omastar
Oddish vs Geodude. Ganador: Oddish
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Tauros vs Psyduck. Ganador: Tauros
Jynx vs Omastar. Ganador: Omastar
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Pinsir vs Kakuna. Ganador: Pinsir
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Tauros vs Psyduck. Ganador: Tauros
Jynx vs Omastar. Ganador: Omastar
Oddish vs Geodude. Ganador: Oddish
Primeape vs Magikarp. Ganador: Primeape
Dodrio vs Slowbro. Ganador: Slowbro
Omastar vs Machamp. Ganador: Machamp
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Tauros vs Psyduck. Ganador: Tauros
Jynx vs Omastar. Ganador: Omastar
Oddish vs Geodude. Ganador: Oddish
Caterpie vs Butterfree. Ganador: Butterfree
Magnemite vs Hitmonlee. Ganador: Hitmonlee
Pinsir vs Kakuna. Ganador: Pinsir
Slowbro vs Exeggutor. Ganador: Exeggutor
Kakuna vs Pinsir. Ganador: Pinsir
Dugtrio vs Arcanine. Ganador: Arcanine
Kakuna vs Pinsir. Ganador: Pinsir
Raichu vs Sandslash. Ganador: Sandslash
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Koffing vs Victreebel. Ganador: Koffing
Psyduck vs Starmie. Ganador: Starmie
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Aerodactyl vs Blastoise. Ganador: Aerodactyl
Pinsir vs Kakuna. Ganador: Pinsir
Nidoqueen vs Jolteon. Ganador: Jolteon
Rhyhorn vs Kakuna. Ganador: Rhyhorn
Caterpie vs Charizard. Ganador: Charizard
Charizard vs Hitmonchan. Ganador: Charizard
Magnemite vs Seaking. Ganador: Seaking
Swampert vs Blaziken. Ganador: Swampert
Kakuna vs Pinsir. Ganador: Pinsir
Dugtrio vs Arcanine. Ganador: Arcanine
Blastoise vs Aerodactyl. Ganador: Aerodactyl
Psyduck vs Tauros. Ganador: Tauros
Omastar vs Jynx. Ganador: Omastar
Geodude vs Oddish. Ganador: Oddish
Kakuna vs Pinsir. Ganador: Pinsir
Mudkip vs Raticate. Ganador: Raticate
Muk vs Parasect. Ganador: Muk
Victreebel vs Arcanine. Ganador: Arcanine
Victreebel vs Arcanine. Ganador: Arcanine
Hitmonchan vs Pikachu. Ganador: Hitmonchan
Nidoqueen vs Arbok. Ganador: Nidoqueen
Tangela vs Grovyle. Ganador: Tangela
Dodrio vs Starmie. Ganador: Starmie
Sandshrew vs Hypno. Ganador: Hypno
Gengar vs Machamp. Ganador: Gengar
Sceptile vs Vaporeon. Ganador: Sceptile
Koffing vs Mew. Ganador: Mew
Fearow vs Abra. Ganador: Fearow
Jolteon vs Abra. Ganador: Jolteon
Venonat vs Electabuzz. Ganador: Electabuzz
Kakuna vs Beedrill. Ganador: Beedrill
Staryu vs Poliwag. Ganador: Staryu
Kakuna vs Pinsir. Ganador: Pinsir
Dugtrio vs Arcanine. Ganador: Arcanine
Kakuna vs Pinsir. Ganador: Pinsir
Dugtrio vs Arcanine. Ganador: Arcanine
Kakuna vs Pinsir. Ganador: Pinsir
Dugtrio vs Arcanine. Ganador: Arcanine
Blastoise vs Aerodactyl. Ganador: Aerodactyl
Psyduck vs Tauros. Ganador: Tauros
Omastar vs Jynx. Ganador: Omastar
Geodude vs Oddish. Ganador: Oddish
Magikarp vs Weezing. Ganador: Weezing
Pikachu vs Pidgey. Ganador: Pikachu
Magneton vs Hypno. Ganador: Magneton
Treeko vs Machop. Ganador: Machop
Rapidash vs Ditto. Ganador: Rapidash
Ponyta vs Swampert. Ganador: Swampert
Moltres vs Torchic. Ganador: Moltres
Torchic vs Butterfree. Ganador: Butterfree
Nidoking vs Slowpoke. Ganador: Nidoking
Nidoking vs Slowpoke. Ganador: Nidoking
Onix vs Marshtomp. Ganador: Marshtomp
Kadabra vs Vaporeon. Ganador: Vaporeon
Seadra vs Charizard. Ganador: Seadra
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Kakuna vs Krabby. Ganador: Krabby
Clefairy vs Gloom. Ganador: Gloom
Kadabra vs Mewtwo. Ganador: Mewtwo
Pinsir vs Kakuna. Ganador: Pinsir
Pinsir vs Kakuna. Ganador: Pinsir
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Hitmonchan vs Kingler. Ganador: Kingler
Clefairy vs Muk. Ganador: Muk
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Psyduck vs Blastoise. Ganador: Blastoise
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Psyduck vs Blastoise. Ganador: Blastoise
Tauros vs Psyduck. Ganador: Tauros
Charmeleon vs Magnemite. Ganador: Charmeleon
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Psyduck vs Blastoise. Ganador: Blastoise
Pinsir vs Kakuna. Ganador: Pinsir
Arcanine vs Dugtrio. Ganador: Arcanine
Psyduck vs Blastoise. Ganador: Blastoise
Tauros vs Psyduck. Ganador: Tauros
Jynx vs Omastar. Ganador: Omastar
Bulbasaur vs Geodude. Ganador: Geodude
Gastly vs Machamp. Ganador: Machamp
